mangaid,ha_z
1-178443,0.04767915
1-178443,0.04765881
1-178443,0.04765881
1-178482,0.1054876
1-178482,0.1054876
1-178550,0.04721626
1-178550,0.04721666
1-179247,0.02363166
1-179247,0.02363166
1-179139,0.07959293
1-179139,0.0795927
1-179535,0.04711776
1-179535,0.04711779
1-179479,0.05061214
1-179479,0.05061215
1-179151,0.02402132
1-179151,0.02402132
1-179372,-999
1-179372,-999
1-179682,0.02412691
1-179682,0.02412691
1-179289,0.04791385
1-179289,0.04791338
1-179248,0.05130387
1-179248,0.05130394
1-179530,0.05038382
1-179530,0.0503834
1-179395,0.01757529
1-179395,0.01757528
1-179386,0.04868933
1-179386,0.04868931
1-179385,0.03475625
1-179385,0.03475624
1-179135,0.04875285
1-179135,0.04875284
1-179351,0.09481847
1-179351,0.09481848
1-179503,0.05809783
1-179503,0.05809784
1-179679,0.050612
1-179679,0.05061198
1-180513,0.051596
1-180513,0.051596
1-180336,0.02989155
1-180336,0.02989155
1-180629,0.1037652
1-180629,0.1037652
1-180621,0.05085334
1-180621,0.05085333
1-180392,0.08608941
1-180392,0.08608788
1-180163,0.03002492
1-180163,0.03002493
1-180540,0.04974689
1-180540,0.04974689
1-180204,0.05217959
1-180204,0.05217963
1-180337,0.03575666
1-180337,0.03575786
1-180576,0.1190326
1-180576,0.1190198
1-635629,0.01969578
1-635629,0.01969579
1-180472,0.05090543
1-180472,0.05090543
1-180537,0.1196088
1-180537,0.1196088
1-180381,0.121762
1-180381,0.1217525
1-180497,0.08864753
1-180497,0.08870917
1-180172,0.04994369
1-180172,0.04994368
1-180080,0.0301855
1-180080,0.0301855
1-113322,0.04317837
1-113322,0.04317768
1-113346,0.04311834
1-113346,0.04311835
1-113265,0.04375256
1-113265,0.04375255
1-113375,0.02824866
1-113375,0.02824866
1-113375,0.02823559
1-113375,0.02823558
1-113469,0.03941652
1-113469,0.0394165
1-113469,0.03943216
1-113469,0.03942659
1-113343,0.04476768
1-113343,0.04475386
1-113273,0.1138135
1-113273,0.1138111
1-113379,0.01716448
1-113379,0.01716447
1-113379,0.01716626
1-113379,0.01716626
1-113315,0.06231819
1-113315,0.06231813
1-113551,0.05830424
1-113551,0.05831483
1-113405,0.04256257
1-113405,0.04256257
1-113242,0.04370733
1-113242,0.04370743
1-113518,0.029989
1-113518,0.02999111
1-113368,0.04314007
1-113368,0.04314006
1-113404,0.04226703
1-113404,0.04226703
1-113292,0.1023175
1-113292,0.1023178
1-113525,0.01651438
1-113525,0.01649889
1-113525,0.0174179
1-113525,0.01741079
1-113525,0.01934818
1-113525,0.01921826
1-114121,0.08792916
1-114121,0.08792907
1-114129,0.07737292
1-114129,0.07737292
1-114325,0.02889315
1-114325,0.02889315
1-114454,0.0896304
1-114454,0.08963041
1-114073,0.04026202
1-114073,0.04026202
1-114303,0.02205871
1-114303,0.02205871
1-114334,0.02226088
1-114334,0.02226088
1-114082,0.04031182
1-114082,0.04031182
1-114171,0.08935706
1-114171,0.08936276
1-114532,0.09110083
1-114532,0.08928538
1-550578,0.0766947
1-550578,0.07669488
1-114128,0.07785358
1-114128,0.07785463
1-114145,0.03420129
1-114145,0.03420124
1-114502,0.07845394
1-114502,0.07845514
1-114465,0.07876292
1-114465,0.07876293
1-114306,0.06364354
1-114306,0.06364354
1-114500,0.02208556
1-114500,0.02208556
1-114955,0.09229144
1-114955,0.09229144
1-114973,0.1200604
1-114973,0.1201858
1-115162,0.07402739
1-115162,0.07402735
1-636015,0.02741955
1-636015,0.02741956
1-596678,0.02689227
1-596678,0.02689227
1-115062,0.02825245
1-115062,0.02830284
1-115128,0.03584838
1-115128,0.03584838
1-115097,0.02749682
1-115097,0.02749682
1-114928,0.02742156
1-114928,0.02742149
1-115320,0.02757135
1-115320,0.02757135
1-114956,0.02703188
1-114956,0.02703194
1-562254,0.09066588
1-562254,0.09066745
1-114998,0.06274322
1-114998,0.06272545
1-115085,0.0349064
1-115085,0.03490641
1-562158,0.06828241
1-562158,0.06828231
1-596598,0.02640018
1-596598,0.02640019
1-114980,0.06306222
1-114980,0.06306221
1-24414,0.0297624
1-24414,0.0297624
1-23877,0.02839713
1-23877,0.02839716
1-25517,0.01141395
1-25517,0.01141395
1-25554,0.02685389
1-25554,0.02685389
1-24476,0.02947213
1-24476,0.02947213
1-634825,0.03010469
1-634825,0.03010467
1-634828,0.03009078
1-634828,0.03009078
1-23894,0.03045831
1-23894,0.0304584
1-24390,0.02965255
1-24390,0.0296515
1-24357,0.02854382
1-24357,0.02854383
1-24394,0.02910814
1-24394,0.02910844
1-23866,0.02709053
1-23866,0.02709053
1-24379,0.02676673
1-24379,0.02677896
1-25688,0.02931163
1-25688,0.02931166
1-25593,0.02622587
1-25593,0.02622587
1-23914,0.02801407
1-23914,0.02801407
1-25609,0.02915013
1-25609,0.02915013
1-595027,0.02842436
1-595027,0.02842436
1-24145,0.03244189
1-24145,0.03244219
1-595093,0.03025651
1-595093,0.03025651
1-24368,0.02501145
1-24368,0.02501144
1-25937,0.1132348
1-25937,0.113235
1-24092,0.09260046
1-24092,0.09260157
1-24099,0.02822605
1-24099,0.02822845
1-25819,0.07427558
1-25819,0.0742757
1-23979,0.02660472
1-23979,0.0266047
1-24124,0.02682322
1-24124,0.02682072
1-23891,0.02753746
1-23891,0.02753745
1-24018,0.03287093
1-24018,0.0328715
1-24354,0.02544855
1-24354,0.02534687
1-24006,0.03111565
1-24006,0.03111565
1-24148,0.02823337
1-24148,0.02823338
1-23929,0.02833823
1-23929,0.02833823
1-25911,0.1397017
1-25911,0.1397777
1-634238,0.06027326
1-634238,0.06028135
