mangaid,ha_z
1-277858,0.03623584
1-277858,0.03623523
1-278485,0.09901404
1-278485,0.09901343
1-278485,0.09921966
1-278485,0.0992192
1-278485,0.0991374
1-278485,0.09913719
1-277103,0.02466744
1-277103,0.02466742
1-277103,0.02463441
1-277103,0.02463438
1-277103,0.02465749
1-277103,0.02465736
1-255691,0.03813406
1-255691,0.03813406
1-255691,0.03813636
1-255691,0.03813636
1-255691,0.03814558
1-255691,0.03814558
1-256048,0.07688721
1-256048,0.07680619
1-256048,0.07875961
1-256048,0.07808949
1-256048,0.07607803
1-256048,0.07614927
1-558910,0.05884484
1-558910,0.05884483
1-558910,0.05882347
1-558910,0.05882347
1-558910,0.0588007
1-558910,0.05880118
1-256104,0.04857862
1-256104,0.04859166
1-256104,0.04721989
1-256104,0.04953158
1-256104,0.04575219
1-256104,0.04573911
1-255959,0.03748351
1-255959,0.03748351
1-255959,0.03748515
1-255959,0.03748515
1-196597,0.06755456
1-196597,0.06755456
1-196737,0.1421519
1-196737,0.1421537
1-576558,0.09556422
1-576558,0.09556444
1-196929,0.07025345
1-196929,0.07022857
1-196861,0.04108422
1-196861,0.04108423
1-245157,0.002841349
1-245157,0.002774645
1-196863,0.04117088
1-196863,0.04115261
1-196753,-999
1-196753,0.06715368
1-244763,0.06965443
1-244763,0.06965445
1-628628,0
1-628628,0
1-197017,0.04598637
1-197017,0.04374231
1-576467,0.0696128
1-576467,0.06961282
1-196580,0.1433775
1-196580,0.1433901
1-197013,0.04064992
1-197013,0.04064993
1-197044,0.04332639
1-197044,0.04332638
1-244805,0.06926965
1-244805,0.06927456
1-245472,0.08322258
1-245472,0.08322258
1-568570,-999
1-568570,-999
1-519381,0.04951353
1-519381,0.04951356
1-523105,0.03192916
1-523105,0.03192915
1-523117,0.03395111
1-523117,0.03395263
1-522742,-999
1-522742,-999
1-523154,0.02825647
1-523154,0.02825646
1-519393,0.031063
1-519393,0.03103562
1-519412,0.03167992
1-519412,0.03167991
1-522735,0.01684143
1-522735,0.01684143
1-626924,0.03165585
1-626924,0.03165585
1-519429,0.03254526
1-519429,0.03254526
1-519444,0.09562676
1-519444,0.09562723
1-519407,0.03305407
1-519407,0.03309354
1-522789,0.04346907
1-522789,0.04346914
1-568584,0.02697092
1-568584,0.0269709
1-519271,0.04195873
1-519271,0.04195874
1-522749,0.07242138
1-522749,0.07208084
1-210866,0.02938821
1-210866,0.02938821
1-210923,0.03202133
1-210923,0.03202133
1-211017,0.03584068
1-211017,0.03584068
1-211017,0.03585278
1-211017,0.03585277
1-633990,0.02957375
1-633990,0.02957375
1-211023,0.03125297
1-211023,0.03125297
1-210846,0.02959506
1-210846,0.02959507
1-211084,0.02851662
1-211084,0.02859708
1-211006,0.02491475
1-211006,0.02495095
1-135095,0.033191
1-135095,0.033191
1-211044,0.02971139
1-211044,0.02955003
1-210754,0.02394411
1-210754,0.02389679
1-210966,0
1-210966,0
1-210972,0.03256489
1-210972,0.03256489
1-135152,0.0301917
1-135152,0.0301917
1-135077,0.02905354
1-135077,0.02905354
1-210785,0.03321702
1-210785,0.0332199
1-210774,0.02915518
1-210774,0.02915518
1-247977,0.03488984
1-247977,0.03488985
1-248388,0.03333669
1-248388,0.03333668
1-248348,0.03550942
1-248348,0.03550941
1-569216,0.03406244
1-569216,0.03406247
1-248233,0.03154099
1-248233,0.03154101
1-248352,0.02422191
1-248352,0.02422191
1-248419,0.03440024
1-248419,0.03440023
1-633587,0.07284848
1-633587,0.07284874
1-248328,0.06235282
1-248328,0.06235785
1-248415,0.01808701
1-248415,0.01808701
1-633591,0.07244723
1-633591,0.07245001
1-248389,0.03479541
1-248389,0.0347954
1-248289,0.034287
1-248289,0.03428731
1-247976,0.02378813
1-247976,0.02378813
1-210112,0.0385642
1-210112,0.03856421
1-247980,0.0386418
1-247980,0.03864181
1-248357,0.03330146
1-248357,0.03330146
1-560834,0.06355842
1-560834,0.06356756
1-236745,0.06491987
1-236745,0.06491954
1-322802,0.07806198
1-322802,0.07806208
1-322806,0.04791886
1-322806,0.04791886
1-322787,0.06348225
1-322787,0.06348225
1-322680,0.03773725
1-322680,0.03774027
1-323026,0.03053464
1-323026,0.02747152
1-322679,0.04050931
1-322679,0.04050936
1-322671,0.06390074
1-322671,0.06518821
1-560826,0.07596342
1-560826,0.07596342
1-323055,0.03687493
1-323055,0.03716439
1-322974,0.040521
1-322974,0.040521
1-560832,0.06357998
1-560832,0.06357922
1-322768,0.08228964
1-322768,0.08228968
1-633211,0.06443533
1-633211,0.06430506
1-322784,0.062594
1-322784,0.062594
1-236776,0.04376207
1-236776,0.04376207
1-259185,0.07425072
1-259185,0.07425074
1-259136,0.07244571
1-259136,0.07244579
1-259108,0.07189473
1-259108,0.07189474
1-259142,0.05445639
1-259142,0.05445644
1-259104,0.03875427
1-259104,0.03875427
1-283711,0.09447744
1-283711,0.09447743
1-559020,0.06430047
1-559020,0.06430048
1-284174,0.03526808
1-284174,0.03526809
1-259117,0.04367805
1-259117,0.04366908
1-259538,0.04435007
1-259538,0.04434981
1-284230,0.04561389
1-284230,0.04562147
1-259195,0.04042518
1-259195,0.04042518
1-259537,0.05789266
1-259537,0.05789265
1-259368,0.1064549
1-259368,0.1064897
1-284197,0.02397321
1-284197,0.02397325
1-259175,0.05024756
1-259175,0.05024757
1-259160,0.02424706
1-259160,0.02424706
1-259650,0.05121799
1-259650,0.05120117
1-284329,0.02483744
1-284329,0.02483745
1-284485,0.03932905
1-284485,0.03932899
1-284317,0.02455148
1-284317,0.02455149
1-259908,0.02913995
1-259908,0.02913995
1-284321,0.02447362
1-284321,0.02447358
1-284349,0.05147326
1-284349,0.05147315
1-259893,0.03453536
1-259893,0.03395141
1-284284,0.02702306
1-284284,0.02702306
1-260010,0.02525022
1-260010,0.02525022
1-575704,0.02491644
1-575704,0.02491643
1-284291,0.05237099
1-284291,0.05237101
1-284293,0.1291507
1-284293,0.1291507
1-284335,0.03491526
1-284335,0.03491528
1-284525,0.02666596
1-284525,0.02666596
1-259618,0.02829624
1-259618,0.02829625
1-284522,0.02646391
1-284522,0.02646391
1-285095,0.05793175
1-285095,0.05795931
1-285052,0.05733183
1-285052,0.0573318
1-285066,0.02763737
1-285066,0.02764145
1-285136,0.02883821
1-285136,0.0288382
1-234618,0.06065411
1-234618,0.06065411
1-234388,0.04584152
1-234388,0.04583977
1-285062,0.0285033
1-285062,0.02850308
1-285065,0.02687589
1-285065,0.02687588
1-234004,0.0487767
1-234004,0.04877689
1-234362,0.06881385
1-234362,0.06881385
1-234431,0.0268238
1-234431,0.02682379
1-285144,0.09093628
1-285144,0.09107796
1-234408,0.03597544
1-234408,0.03597544
1-234632,0.06145419
1-234632,0.06145418
1-234629,0.06062707
1-234629,0.06062702
1-234341,0.07071058
1-234341,0.07071058
1-575733,0.09036731
1-575733,0.09036713
1-519706,0.04195351
1-519706,0.04195351
1-523065,0.02797957
1-523065,0.02797955
1-523033,0.03021622
1-523033,0.03021623
1-523027,0.02677519
1-523027,0.02677519
1-519746,0.02729892
1-519746,0.02729892
1-523238,0.02784826
1-523238,0.0278477
1-519705,0.02784607
1-519705,0.02819641
1-519738,0.02779578
1-519738,0.02780248
1-523108,0.02731789
1-523108,0.02731789
1-592049,0.02889817
1-592049,0.02884093
1-519742,0.02755917
1-519742,0.02755917
1-523004,0.02652037
1-523004,0.02652037
1-519707,0.02661299
1-519707,0.02653706
1-519720,0.05164677
1-519720,0.05164849
1-627332,0.03001253
1-627332,0.03001252
1-523050,0.02968222
1-523050,0.02968223
1-532459,0.05243351
1-532459,0.05243352
1-624909,-999
1-624909,-999
1-401725,-999
1-401725,-999
1-419251,-999
1-419251,-999
1-625154,0.01862828
1-625154,0.01862828
1-575232,0.04835535
1-575232,0.04835504
1-625070,0.02312879
1-625070,0.02312879
1-575202,0.04559269
1-575202,0.04551579
1-419028,0.04914616
1-419028,0.04914617
1-575209,0.04647075
1-575209,0.04647075
1-421145,0.01716366
1-421145,0.0171646
1-401759,0.03662142
1-401759,0.03661927
1-401783,0.06109178
1-401783,0.06109178
1-401757,0.06042711
1-401757,0.06042712
1-419067,0.01858102
1-419067,0.01858102
1-418974,0.04703881
1-418974,0.04703905
1-591611,0.01868558
1-591611,0.01868558
1-419231,0.04537512
1-419231,0.04537511
1-591379,0.02375766
1-591379,0.02375766
1-405707,0.02300185
1-405707,0.02300055
1-591308,0.02520316
1-591308,0.02520315
1-405813,0.03811307
1-405813,0.03811307
1-624367,0.03399588
1-624367,0.0339959
1-410131,0.02532313
1-410131,0.02532261
1-624448,0.03311821
1-624448,0.03311406
1-402850,0.03319591
1-402850,0.0331959
1-402833,0.02448417
1-402833,0.02448409
1-402898,0.06762851
1-402898,0.06762849
1-415513,0.03438236
1-415513,0.03438235
1-415476,0.03375191
1-415476,0.03375192
1-402872,0.04929435
1-402872,0.04927015
1-405760,0.02329539
1-405760,0.02329539
1-405673,0.01585404
1-405673,0.01585404
1-405698,0.0345578
1-405698,0.03457673
1-405588,0.03836135
1-405588,0.03836135
1-286558,0.04296351
1-286558,0.04296351
1-234997,0.04204664
1-234997,0.04204664
1-235398,0.02812296
1-235398,0.02812296
1-235398,0.028101
1-235398,0.028101
1-320324,0.1431318
1-320324,0.1434041
1-235385,0.03934149
1-235385,0.03934149
1-235239,0.04079982
1-235239,0.0407996
1-235257,0.04002814
1-235257,0.04002815
1-235018,0.04078936
1-235018,0.04078935
1-235136,0.01533737
1-235136,0.01533736
1-235270,0.0262831
1-235270,0.02628309
1-235307,0.04029966
1-235307,0.04029966
1-234980,0.05319405
1-234980,0.05319422
1-235301,0.06499531
1-235301,0.06513898
1-320328,0.05262503
1-320328,0.05262536
1-320337,0.0527828
1-320337,0.05278282
1-235186,0.06628691
1-235186,0.06628691
1-235306,0.06739524
1-235306,0.06739524
1-235398,0.02812296
1-235398,0.02812296
1-235398,0.028101
1-235398,0.028101
1-235575,0.02716724
1-235575,0.02716724
1-320606,0.05219287
1-320606,0.05219287
1-320642,0.03745433
1-320642,0.03745164
1-320922,0.0358659
1-320922,0.0358662
1-320681,-999
1-320681,-999
1-235587,0.02677386
1-235587,0.02677402
1-235530,0.02757375
1-235530,0.02757385
1-235530,0.02757373
1-235530,0.02757377
1-321069,0.07332344
1-321069,0.07331111
1-320655,0.0705953
1-320655,0.07061055
1-235582,0.02399148
1-235582,0.0272128
1-321074,0.06954773
1-321074,0.06949915
1-235576,0.07026673
1-235576,0.0702667
1-320664,0.05225482
1-320664,0.05225147
1-320584,0.07038017
1-320584,0.07151004
1-320677,0.1302804
1-320677,0.1302801
1-235611,0.07175494
1-235611,0.07175516
1-266039,0.03511052
1-266039,0.03511052
1-286805,0.01281149
1-286805,0.01281699
1-266020,0.04037236
1-266020,0.04037237
1-235203,0.01593143
1-235203,0.01593144
1-266106,0.1419033
1-266106,0.1419058
1-235530,0.02757375
1-235530,0.02757385
1-235530,0.02757373
1-235530,0.02757377
1-629695,0.02766376
1-629695,0.02766383
1-569225,0.08931632
1-569225,0.08931632
1-569225,0.08931024
1-569225,0.08931024
1-266045,0.04033476
1-266045,0.04033476
1-266074,0.1380788
1-266074,0.1380786
1-266074,0.1377097
1-266074,0.1377139
1-592881,0.02898546
1-592881,0.02897372
1-592881,0.02873277
1-592881,0.02877665
1-265980,0.06727005
1-265980,0.06727725
1-286804,0.1427314
1-286804,0.1427315
1-265988,0.03131821
1-265988,0.03131821
1-592743,0.02715348
1-592743,0.02715348
1-286795,0.1081703
1-286795,0.1081702
1-266101,0.03272429
1-266101,0.03272573
1-418626,0.05292422
1-418626,0.05292422
1-402422,0.06488082
1-402422,0.0648808
1-285737,0.02693054
1-285737,0.02693053
1-402467,0.02573651
1-402467,0.02573651
1-402409,0.1177801
1-402409,0.1177809
1-402576,0.04570974
1-402576,0.04570993
1-402656,0.02006746
1-402656,0.02006746
1-402454,0.06475212
1-402454,0.06476253
1-285729,0.05414895
1-285729,0.05414898
1-402609,0.06141044
1-402609,0.06141033
1-402436,0.02011494
1-402436,0.02011494
1-402487,0.05342511
1-402487,0.05342509
1-285748,0.04889417
1-285748,0.04889417
1-559041,0.02699221
1-559041,0.02699225
1-418197,0.06721397
1-418197,0.06676096
1-285728,0.03487002
1-285728,0.03487002
1-260481,0.02415117
1-260481,0.02415121
1-250638,0.06084133
1-250638,0.06083905
1-285916,0.1329915
1-285916,0.1329914
1-250607,0.03741539
1-250607,0.03741538
1-250997,0.02796558
1-250997,0.02796559
1-260534,0.05954097
1-260534,0.05954101
1-250628,0.043624
1-250628,0.04362689
1-250603,0.05239158
1-250603,0.05239159
1-575738,0.06211498
1-575738,0.06211501
1-250651,0.05448402
1-250651,0.05451799
1-250652,0.0525537
1-250652,0.0525537
1-251043,0.02717729
1-251043,0.0271773
1-250642,0.06290101
1-250642,0.06290102
1-260514,0.0751498
1-260514,0.07514983
1-250644,0.06274465
1-250644,0.06275783
1-250969,0.02829553
1-250969,0.02829554
1-285879,0.06243545
1-285879,0.06243723
1-575737,0.0608533
1-575737,0.0608546
1-250959,0.02830527
1-250959,0.02830527
1-251115,0.09295765
1-251115,0.09295767
1-286307,0.09039935
1-286307,0.09039937
1-251269,0.1030089
1-251269,0.1030088
1-251279,0.0330475
1-251279,0.03304738
1-251303,0.04227085
1-251303,0.04227218
1-575771,0.007560616
1-575771,0.007560619
1-575778,0.06367275
1-575778,0.06367274
1-251129,0.03332479
1-251129,0.03332478
1-251067,0.04511985
1-251067,0.04511982
1-251198,0.04282047
1-251198,0.04282046
1-250940,0.09492854
1-250940,0.09492819
1-251278,0.1495885
1-251278,0.1495915
1-251119,0.04860715
1-251119,0.04860714
1-286274,0.07207876
1-286274,0.07207872
1-250922,0.02848285
1-250922,0.02848285
1-251307,0.03234987
1-251307,0.03234987
1-569225,0.08931632
1-569225,0.08931632
1-569225,0.08931024
1-569225,0.08931024
1-265907,0.137198
1-265907,0.1372059
1-266112,0.03502193
1-266112,0.03502192
1-266074,0.1380788
1-266074,0.1380786
1-266074,0.1377097
1-266074,0.1377139
1-265863,0.02594518
1-265863,0.02594517
1-266298,0.02374233
1-266298,0.02370353
1-266244,0.01705038
1-266244,0.01705037
1-251662,0.06862082
1-251662,0.06862082
1-592881,0.02898546
1-592881,0.02897372
1-592881,0.02873277
1-592881,0.02877665
1-266288,0.1360925
1-266288,0.1360916
1-569263,0.0998684
1-569263,0.09985477
1-251657,0.0840989
1-251657,0.08408906
1-251871,0.1027197
1-251871,0.1027197
1-265883,0.1075419
1-265883,0.1076511
1-265849,0.1339093
1-265849,0.1336992
1-265919,0.07141362
1-265919,0.07142611
1-266328,0.1362112
1-266328,0.1362142
1-251762,0.06328692
1-251762,0.06328692
1-251764,0.01879564
1-251764,0.01879567
1-252072,0.01830406
1-252072,0.01830407
1-592984,0.01793581
1-592984,0.01793736
1-251686,0.02529965
1-251686,0.02529965
1-251783,0.02348595
1-251783,0.02346225
1-252147,0.01770987
1-252147,0.01761929
1-252049,0.02479711
1-252049,0.02479711
1-252073,0.0182401
1-252073,0.0182401
1-252126,0.01815949
1-252126,0.01815948
1-252046,0.02570803
1-252046,0.02570803
1-251788,0.01759493
1-251788,0.01759493
1-252094,0.01922758
1-252094,0.01922758
1-251739,0.08176375
1-251739,0.08212221
1-252070,0.08243739
1-252070,0.08243758
1-251775,0.08176161
1-251775,0.08175491
1-252151,0.01748431
1-252151,0.0174843
1-614850,0.0210325
1-614850,0.0210325
1-492564,0.03807562
1-492564,0.03807786
1-489927,0.02401851
1-489927,0.02401851
1-491218,0.02204279
1-491218,0.02204295
1-491045,0.1336541
1-491045,0.1336423
1-491441,0.02148832
1-491441,0.02148833
1-588894,0.03528426
1-588894,0.03528369
1-491200,0.03084982
1-491200,0.03141814
1-491140,0.01928598
1-491140,0.01928598
1-492536,0.03116713
1-492536,0.03116765
1-491233,0.03320106
1-491233,0.03320105
1-574691,0.03078927
1-574691,0.03078927
1-491225,0.02236605
1-491225,0.02236604
1-489932,0.03328894
1-489932,0.03328895
1-492617,0.02245773
1-492617,0.02245773
1-491095,0.02180929
1-491095,0.02180874
1-489884,0.0505819
1-489884,0.05041302
1-282653,0.02419905
1-282653,0.02419905
1-575668,0.06011879
1-575668,0.06011881
1-283278,0.03882289
1-283278,0.0388229
1-620993,0.03027033
1-620993,0.03027035
1-575796,0.02510885
1-575796,0.02510885
1-259091,0.04747291
1-259091,0.04747382
1-258879,0.04048184
1-258879,0.04048184
1-259079,0.04984393
1-259079,0.04984249
1-259058,0.02421691
1-259058,0.02421691
1-283246,0.04964175
1-283246,0.04964175
1-259250,0.024147
1-259250,0.02414702
1-258876,0.03162545
1-258876,0.03162544
1-259068,0.0246599
1-259068,0.02465989
1-282665,0.03949045
1-282665,0.03949045
1-283286,0.03192683
1-283286,0.03191535
1-259050,0.05123767
1-259050,0.05123767
1-259245,0.02446317
1-259245,0.02446317
1-155978,0.01631778
1-155978,0.01631778
1-155926,0.02700722
1-155926,0.02700735
1-605884,0.02512667
1-605884,0.02512667
1-156137,0.06403489
1-156137,0.06403489
1-156062,0.05119454
1-156062,0.05119454
1-155903,0.01636672
1-155903,0.01636671
1-156061,0.0259851
1-156061,0.0259851
1-605863,0.02709239
1-605863,0.02709252
1-585593,0.02639852
1-585593,0.02639861
1-156158,0.1385544
1-156158,0.1385545
1-156039,0.1168656
1-156039,0.1167721
1-156074,0.02640102
1-156074,0.02640102
1-155975,0.0339322
1-155975,0.0339322
1-124604,0.02539988
1-124604,0.02539989
1-585632,0.03783803
1-585632,0.03783803
1-156154,0.03795542
1-156154,0.03795542
1-156037,0.02496872
1-156037,0.02496872
1-216540,0.02890513
1-216540,0.02890513
1-216984,0.1473722
1-216984,0.1473191
1-605638,0.02613478
1-605638,0.02613478
1-217018,0.02712243
1-217018,0.02712244
1-216973,0.04128446
1-216973,0.04128448
1-217015,0.02444148
1-217015,0.02444148
1-216951,0.0251665
1-216951,0.02516651
1-216520,0.02397614
1-216520,0.02397614
1-216805,0.06917743
1-216805,0.06917739
1-216958,0.02700377
1-216958,0.02700378
1-605571,0.02400123
1-605571,0.02400123
1-137548,0.1478752
1-137548,0.1478733
1-216980,0.04144842
1-216980,0.04144842
1-137528,0.08743258
1-137528,0.08743259
1-216976,0.02873974
1-216976,0.02873974
1-216779,0.09650113
1-216779,0.09650122
1-217017,0.02491019
1-217017,0.02491019
1-409576,-999
1-409576,-999
1-419013,0.04516243
1-419013,0.04516243
1-625180,0.01921982
1-625180,0.01921982
1-419126,0.05172061
1-419126,0.05172061
1-591588,0.01849572
1-591588,0.01849571
1-415354,0.035903
1-415354,0.035903
1-419236,0.02312132
1-419236,0.02312133
1-591580,-999
1-591580,-999
1-419116,0.04703584
1-419116,0.04704222
1-421884,0.03872215
1-421884,0.03872264
1-419195,0.04526951
1-419195,0.04526951
1-419240,0.06136417
1-419240,0.06136418
1-419153,0.03027335
1-419153,0.03027335
1-409567,-999
1-409567,-999
1-415304,0.03662653
1-415304,0.03662663
1-419151,0.02471199
1-419151,0.02471199
1-625513,0.02303959
1-625513,0.02303958
1-592100,0.02873526
1-592100,0.02872609
1-568615,0.05103948
1-568615,0.05103946
1-422823,0.05710077
1-422823,0.05710109
1-422933,0.02908229
1-422933,0.02908239
1-424415,0.02899143
1-424415,0.02899145
1-422898,0.02948201
1-422898,0.02948195
1-424438,0.02996288
1-424438,0.02996299
1-422976,0.02988374
1-422976,0.02988376
1-423101,0.03701647
1-423101,0.03701648
1-422430,0.06686041
1-422430,0.0668191
1-422911,0.03030707
1-422911,0.03030707
1-592128,0.02951551
1-592128,0.0295155
1-422969,0.02740546
1-422969,0.02740555
1-627397,0.02914752
1-627397,0.02914753
1-627945,0.03042421
1-627945,0.03042427
1-592031,0.04860701
1-592031,0.04860702
1-422974,0.02970647
1-422974,0.02970647
1-421728,0.0168044
1-421728,0.0168063
1-421777,0.02450509
1-421777,0.02450623
1-422040,0.03897195
1-422040,0.03897194
1-421775,0.03557457
1-421775,0.03557306
1-626390,0.01557175
1-626390,0.01557183
1-420787,0.03692384
1-420787,0.03692383
1-420770,0.02408993
1-420770,0.02408992
1-419257,0.02321612
1-419257,0.02321612
1-421756,0.02449
1-421756,0.02449074
1-420704,0.03635896
1-420704,0.03567731
1-421226,0.02469289
1-421226,0.02469289
1-420755,0.03709893
1-420755,0.03709916
1-421767,0.02553546
1-421767,0.02553552
1-625602,-999
1-625602,-999
1-420732,0.03479049
1-420732,0.03479049
1-421972,0.03677406
1-421972,0.03677401
1-421814,0.03896053
1-421814,0.03896054
1-591917,0.02496383
1-591917,0.02496383
1-399563,0.02437346
1-399563,0.02437346
1-409272,0.021244
1-409272,0.02124591
1-409200,0.0245347
1-409200,0.02453468
1-409242,0.0350148
1-409242,0.0350148
1-409249,0.04094633
1-409249,0.04101897
1-409109,0.02567055
1-409109,0.02566832
1-409209,0.02436138
1-409209,0.02436139
1-399581,0.0596463
1-399581,0.05964615
1-410705,0.02343781
1-410705,0.02343781
1-409240,0.02538437
1-409240,0.02537851
1-399541,0.02664123
1-399541,0.0266073
1-409214,0.0513051
1-409214,0.05130478
1-418104,0.05795529
1-418104,0.05795523
1-410676,0.01650259
1-410676,0.01650259
1-409168,0.0250519
1-409168,0.0250519
1-418006,0.02687888
1-418006,0.02687887
1-418128,0.02333546
1-418128,0.02333545
1-418111,0.05176928
1-418111,0.05176928
1-418202,0.02521825
1-418202,0.02521825
1-418252,0.0265965
1-418252,0.0265965
1-418224,0.01906055
1-418224,0.01906055
1-418023,0.02381084
1-418023,0.02381084
1-418253,0.02661251
1-418253,0.02661254
1-418048,0.06206545
1-418048,0.06206499
1-418071,0.04166298
1-418071,0.04166298
1-418242,0.02143923
1-418242,0.02143922
1-418014,0.05733066
1-418014,0.05733065
1-409184,0.02366525
1-409184,0.02366701
1-418134,-999
1-418134,-999
1-418090,0.06029249
1-418090,0.06029241
1-410704,0.05524572
1-410704,0.05524572
1-418228,0.03462816
1-418228,0.03462823
1-410718,0.02493429
1-410718,0.02493429
1-260733,0.05073072
1-260733,0.05073073
1-627377,0.06144272
1-627377,0.06144271
1-260783,0.03482137
1-260783,0.03480227
1-260809,0.0568864
1-260809,0.05688656
1-405261,0.02407121
1-405261,0.02407489
1-402649,0.02024118
1-402649,0.02024118
1-260744,0.06153978
1-260744,0.06153986
1-405229,0.04911557
1-405229,0.04911558
1-405213,0.1078676
1-405213,0.1081249
1-260823,0.05104598
1-260823,0.05104598
1-260715,0.05230919
1-260715,0.05230918
1-260446,0.07528631
1-260446,0.0752864
1-260377,0.1222228
1-260377,0.1222247
1-260541,0.0756541
1-260541,0.07565403
1-260743,0.1469825
1-260743,0.1469827
1-260458,0.06202469
1-260458,0.06202467
1-559049,0.0962633
1-559049,0.09626329
1-487185,0.09092247
1-487185,0.09092298
1-486243,0.0270045
1-486243,0.02700451
1-487432,0.07390751
1-487432,0.07390742
1-487449,0.02255087
1-487449,0.02255086
1-487293,0.02240039
1-487293,0.02240039
1-487267,0.02146372
1-487267,0.02146372
1-488464,0.04142147
1-488464,0.04142601
1-487046,0.02101976
1-487046,0.02101976
1-487488,0.02160027
1-487488,0.02160027
1-487379,0.1386762
1-487379,0.1386761
1-487272,0.02212692
1-487272,0.02212692
1-486227,0.03552071
1-486227,0.03552071
1-487164,0.02293385
1-487164,0.02293385
1-487452,0.02243664
1-487452,0.02243663
1-487383,0.02173343
1-487383,0.02173343
1-487130,0.05865652
1-487130,0.05865652
1-487099,0.07736252
1-487099,0.07736254
1-488469,0.02230802
1-488469,0.0223059
1-488790,0.02070477
1-488790,0.02070477
1-613340,0.02119493
1-613340,0.02119493
1-574686,0.02063446
1-574686,0.02063446
1-613769,0.03248215
1-613769,0.03248215
1-488532,0.03364795
1-488532,0.03349066
1-488575,0.02241262
1-488575,0.02241262
1-488526,0.03169625
1-488526,0.03169633
1-489766,-999
1-489766,-999
1-488712,0.04204757
1-488712,0.04204757
1-574775,0.01908324
1-574775,0.02763172
1-488700,0.0211741
1-488700,0.0211741
1-487329,0.0233487
1-487329,0.02334217
1-613211,0.0323146
1-613211,0.03231456
1-488783,0.0229289
1-488783,0.0229289
1-488706,-999
1-488706,-999
1-488620,0.02119722
1-488620,0.02119722
1-489846,0.04314496
1-489846,0.04314497
1-491193,0.04048429
1-491193,0.04048478
1-492524,0.04568498
1-492524,0.04568494
1-491075,0.0456549
1-491075,0.04565393
1-489642,0.04292949
1-489642,0.04292909
1-489877,0.02376573
1-489877,0.02376573
1-491220,0.03350789
1-491220,0.0335079
1-489644,0.1355962
1-489644,0.135596
1-490074,0.06172914
1-490074,0.06161975
1-489814,0.035032
1-489814,0.03503201
1-491063,0.04956757
1-491063,0.04957395
1-491047,0.02084344
1-491047,0.0208433
1-489648,0.04177041
1-489648,0.04177041
1-489649,0.04070276
1-489649,0.04070275
1-491229,0.03920142
1-491229,0.03920145
1-490045,0.0277272
1-490045,0.02772721
1-491058,0.04930275
1-491058,0.04930275
1-558912,0.1261738
1-558912,0.1261739
1-558912,0.1261719
1-558912,0.1261719
1-558912,0.1261794
1-558912,0.1261794
1-587938,0.03132774
1-587938,0.03132774
1-587938,0.03129419
1-587938,0.0312941
1-587938,0.03130385
1-587938,0.03130401
1-255897,0.03788761
1-255897,0.03788761
1-256456,0.05861274
1-256456,0.05861273
1-256456,0.05862461
1-256456,0.0586246
1-256456,0.05861681
1-256456,0.0586168
1-278490,0.04718982
1-278490,0.04718981
1-256125,0.03847249
1-256125,0.03852395
1-256457,0.03690703
1-256457,0.03690824
1-256457,0.03687454
1-256457,0.03687439
1-256457,0.03689922
1-256457,0.03689872
1-255676,0.03774774
1-255676,0.03774774
1-255691,0.03813406
1-255691,0.03813406
1-255691,0.03813636
1-255691,0.03813636
1-255691,0.03814558
1-255691,0.03814558
1-277858,0.0361563
1-277858,0.03615633
1-277858,0.0362661
1-277858,0.03626581
1-277858,0.03623584
1-277858,0.03623523
1-278485,0.09901404
1-278485,0.09901343
1-278485,0.09921966
1-278485,0.0992192
1-278485,0.0991374
1-278485,0.09913719
1-277103,0.02466744
1-277103,0.02466742
1-277103,0.02463441
1-277103,0.02463438
1-277103,0.02465749
1-277103,0.02465736
1-256048,0.07688721
1-256048,0.07680619
1-256048,0.07875961
1-256048,0.07808949
1-256048,0.07607803
1-256048,0.07614927
1-558910,0.05884484
1-558910,0.05884483
1-558910,0.05882347
1-558910,0.05882347
1-558910,0.0588007
1-558910,0.05880118
1-256465,0.05744378
1-256465,0.05744378
1-256104,0.04857862
1-256104,0.04859166
1-256104,0.04721989
1-256104,0.04953158
1-256104,0.04575219
1-256104,0.04573911
1-255695,0.03617885
1-255695,0.03617885
1-167678,0.04003794
1-167678,0.04003245
1-147685,0.04258266
1-147685,0.04258446
1-148068,0.06093939
1-148068,0.06093939
1-172986,0.05181778
1-172986,0.05181779
1-609412,0.02471259
1-609412,0.02471259
1-167688,0.02578148
1-167688,0.02578148
1-148046,0.05863117
1-148046,0.05863117
1-608874,0.04283801
1-608874,0.04277167
1-148127,0.06338349
1-148127,0.06323839
1-148086,0.1333923
1-148086,0.1333921
1-173030,0.02504349
1-173030,0.02504349
1-167610,0.02436449
1-167610,0.02436449
1-172948,0.04249891
1-172948,0.04249891
1-172962,0.06294884
1-172962,0.06286623
1-172987,0.04282246
1-172987,0.04282246
1-172936,0.06459103
1-172936,0.06443892
1-586863,0.03965085
1-586863,0.03965086
1-147514,0.02513254
1-147514,0.02513254
1-147537,0.03814888
1-147537,0.03815271
1-147863,0.06332432
1-147863,0.06332433
1-147475,0.03809324
1-147475,0.03809289
1-167564,0.02426689
1-167564,0.02426689
1-147815,0.02534598
1-147815,0.02534598
1-147488,0.02416167
1-147488,0.02416167
1-167380,0.03891774
1-167380,0.0389169
1-147521,0.02534022
1-147521,0.02534021
